method,metric,num_queries,num_images,mean,ci95_low,ci95_high,dataset
prompt,object_recall_at_5,5452,525,0.3266530454007595,0.3090932892129442,0.3442343816479506,SODA-A
prompt,object_recall_at_10,5452,525,0.4726817617682686,0.4537710581324613,0.4919623860198337,SODA-A
graph,hit_at_1,5452,525,0.5753851797505503,0.5506448995680099,0.5999279320079794,SODA-A
graph,hit_at_5,5452,525,0.8178650036683786,0.7985764897098695,0.8366414111916457,SODA-A
graph,hit_at_10,5452,525,0.8912325752017608,0.8755646325975545,0.9063612734758396,SODA-A
graph,precision_at_5,5452,525,0.5250550256786498,0.5036752175630449,0.5462259124044818,SODA-A
graph,precision_at_10,5452,525,0.4901504035216437,0.4689893103596204,0.5105403973850523,SODA-A
graph,recall_at_5,5452,525,0.1317968438749561,0.1245932795673947,0.1392264953108274,SODA-A
graph,recall_at_10,5452,525,0.228578241443399,0.2185573495206328,0.2391457947503439,SODA-A
graph,ndcg_at_5,5452,525,0.5421618334475804,0.520729169719151,0.5633440093049257,SODA-A
graph,ndcg_at_10,5452,525,0.534341987020082,0.5143103224183855,0.554201758865155,SODA-A
graph,object_recall_at_5,5452,525,0.4643523325488326,0.4465535483784434,0.4822068440290663,SODA-A
graph,object_recall_at_10,5452,525,0.6261001544673082,0.6089124248795854,0.6431780193706499,SODA-A
priver,hit_at_1,5452,525,0.5942773294203962,0.5652479546095733,0.6235833977243458,SODA-A
priver,hit_at_5,5452,525,0.8275862068965517,0.8048775997701068,0.849128677726065,SODA-A
priver,hit_at_10,5452,525,0.8928833455612619,0.8751762554760176,0.9099038486927225,SODA-A
priver,precision_at_5,5452,525,0.530007336757153,0.5075287598756665,0.552472469957936,SODA-A
priver,precision_at_10,5452,525,0.4983859134262655,0.4764319614189616,0.5197119839435853,SODA-A
priver,recall_at_5,5452,525,0.1339796014966384,0.1259323484592109,0.1422710090256529,SODA-A
priver,recall_at_10,5452,525,0.2338205833485266,0.2227338680526415,0.2454662537203435,SODA-A
priver,ndcg_at_5,5452,525,0.5507342511154313,0.527888347715062,0.5731915018888113,SODA-A
priver,ndcg_at_10,5452,525,0.5449586985952198,0.5238090778811012,0.5659768715498309,SODA-A
priver,object_recall_at_5,5452,525,0.4740399794237445,0.4529873758381162,0.4949204181067214,SODA-A
priver,object_recall_at_10,5452,525,0.6391580247933775,0.6201535851455505,0.6580084178725413,SODA-A
