method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00331,large-vehicle,256,0.0,0.0,0.0
prompt,00331,small-vehicle,0,0.4,0.42836504693009625,0.15384615384615385
prompt,00331,small-vehicle,16,0.1,0.06625422345438903,0.07692307692307693
prompt,00331,small-vehicle,64,0.0,0.0,0.0
prompt,00331,small-vehicle,256,0.0,0.0,0.0
prompt,00331,storage-tank,0,0.4,0.3686580539482399,0.8888888888888888
prompt,00331,storage-tank,16,0.3,0.2869956276855177,0.7777777777777778
prompt,00331,storage-tank,64,0.1,0.21840743681816419,0.6666666666666666
prompt,00331,storage-tank,256,0.0,0.0,0.0
prompt,00339,airplane,0,0.2,0.21726071285222986,0.75
prompt,00339,airplane,16,0.2,0.21726071285222986,0.75
prompt,00339,airplane,64,0.2,0.21726071285222986,0.75
prompt,00339,airplane,256,0.0,0.0,0.0
prompt,00339,container,0,0.1,0.08514311764162098,0.027777777777777776
prompt,00339,container,16,0.1,0.08514311764162098,0.013888888888888888
prompt,00339,container,64,0.0,0.0,0.0
prompt,00339,container,256,0.0,0.0,0.0
prompt,00339,large-vehicle,0,0.1,0.13905617951077562,1.0
prompt,00339,large-vehicle,16,0.1,0.21840743681816419,1.0
prompt,00339,large-vehicle,64,0.0,0.0,0.0
prompt,00339,large-vehicle,256,0.0,0.0,0.0
prompt,00339,ship,0,0.0,0.0,0.0
prompt,00339,ship,16,0.0,0.0,0.0
prompt,00339,ship,64,0.0,0.0,0.0
prompt,00339,ship,256,0.0,0.0,0.0
prompt,00339,small-vehicle,0,0.4,0.3529461582433962,0.04597701149425287
prompt,00339,small-vehicle,16,0.1,0.07839826897867533,0.005747126436781609
prompt,00339,small-vehicle,64,0.0,0.0,0.0
prompt,00339,small-vehicle,256,0.0,0.0,0.0
prompt,00339,storage-tank,0,0.0,0.0,0.0
prompt,00339,storage-tank,16,0.0,0.0,0.0
prompt,00339,storage-tank,64,0.0,0.0,0.0
prompt,00339,storage-tank,256,0.0,0.0,0.0
prompt,00339,swimming-pool,0,0.1,0.20210734650054757,1.0
prompt,00339,swimming-pool,16,0.1,0.20210734650054757,1.0
prompt,00339,swimming-pool,64,0.1,0.2640681225725909,1.0
prompt,00339,swimming-pool,256,0.0,0.0,0.0
prompt,00343,container,0,0.6,0.6331992944486872,0.7083333333333334
prompt,00343,container,16,0.6,0.6331992944486872,0.7083333333333334
prompt,00343,container,64,0.3,0.40853591842579556,0.5
prompt,00343,container,256,0.0,0.0,0.0
prompt,00343,large-vehicle,0,0.4,0.5231737964779628,0.3333333333333333
prompt,00343,large-vehicle,16,0.4,0.5231737964779628,0.3333333333333333
prompt,00343,large-vehicle,64,0.2,0.3589542101716347,0.25
prompt,00343,large-vehicle,256,0.0,0.0,0.0
prompt,00343,small-vehicle,0,0.6,0.47682620352203725,0.3082901554404145
prompt,00343,small-vehicle,16,0.3,0.23992089480238082,0.03367875647668394
prompt,00343,small-vehicle,64,0.0,0.0,0.0
prompt,00343,small-vehicle,256,0.0,0.0,0.0
prompt,00356,airplane,0,0.5,0.5771493379489847,0.6590909090909091
prompt,00356,airplane,16,0.5,0.5771493379489847,0.6590909090909091
prompt,00356,airplane,64,0.5,0.5771493379489847,0.4659090909090909
prompt,00356,airplane,256,0.3,0.9469024295259745,0.06818181818181818
prompt,00356,container,0,0.2,0.3372569370235428,0.5714285714285714
prompt,00356,container,16,0.2,0.8175295903539445,0.2857142857142857
prompt,00356,container,64,0.0,0.0,0.0
prompt,00356,container,256,0.0,0.0,0.0
prompt,00356,helicopter,0,0.0,0.0,0.0
prompt,00356,helicopter,16,0.0,0.0,0.0
prompt,00356,helicopter,64,0.0,0.0,0.0
prompt,00356,helicopter,256,0.0,0.0,0.0
prompt,00356,large-vehicle,0,0.2,0.21726071285222986,0.09090909090909091
prompt,00356,large-vehicle,16,0.0,0.0,0.0
prompt,00356,large-vehicle,64,0.0,0.0,0.0
prompt,00356,large-vehicle,256,0.0,0.0,0.0
prompt,00356,small-vehicle,0,0.3,0.2710884709729799,0.33136094674556216
prompt,00356,small-vehicle,16,0.0,0.0,0.0
prompt,00356,small-vehicle,64,0.0,0.0,0.0
prompt,00356,small-vehicle,256,0.0,0.0,0.0
prompt,00356,storage-tank,0,0.0,0.0,0.0
prompt,00356,storage-tank,16,0.0,0.0,0.0
prompt,00356,storage-tank,64,0.0,0.0,0.0
prompt,00356,storage-tank,256,0.0,0.0,0.0
prompt,00359,windmill,0,0.7,0.611755947233009,0.6923076923076923
prompt,00359,windmill,16,0.7,0.611755947233009,0.6923076923076923
prompt,00359,windmill,64,0.6,0.5481351590340573,0.5384615384615384
prompt,00359,windmill,256,0.0,0.0,0.0
prompt,00380,windmill,0,1.0,1.0,0.24242424242424243
prompt,00380,windmill,16,1.0,1.0,0.24242424242424243
prompt,00380,windmill,64,0.9,0.8899541168509599,0.21212121212121213
prompt,00380,windmill,256,0.0,0.0,0.0
prompt,00384,container,0,0.8,0.8263333286520083,0.7450980392156863
